特价,原价,药名,厂家,规格,效期
券后约 ￥1.80,￥1.89,七叶神安片,云南通大生物药业有限公司,规格：50mg*24片(薄膜衣),效期：2023-03-31
券后约 ￥4.61,￥4.85,氢溴酸右美沙芬口服溶液,邯郸康业制药有限公司,规格：100ml,效期：2022-09-30
券后约 ￥8.66,￥9.12,羚贝止咳糖浆,吉林金宝药业股份有限公司,规格：10ml*10支,效期：2022-04-30
券后约 ￥11.88,￥12.50,肾上腺色腙片,江苏亚邦爱普森药业有限公司,规格：2.5mg*100片(糖衣),效期：2022-06-30
券后约 ￥3.23,￥3.40,心脑康胶囊,吉林真元制药有限公司,规格：0.25g*12粒*3板,效期：2023-05-31
券后约 ￥7.68,￥8.08,清喉咽颗粒,广西万寿堂药业有限公司,规格：18g*9袋,效期：2022-08-31
券后约 ￥5.80,￥6.11,替米沙坦胶囊,四川科伦药业股份有限公司,规格：40mg*14粒,效期：2023-07-10
券后约 ￥9.03,￥9.50,葡萄糖粉剂,重庆和平制药有限公司,规格：20g*18袋,效期：2023-07-31
券后约 ￥4.13,￥4.35,脑得生片,景忠山国药(唐山)有限公司,规格：0.3g*36片,效期：2023-07-31
券后约 ￥27.64,￥29.10,乌灵胶囊,浙江佐力药业股份有限公司,规格：0.33g*27粒,效期：2023-02-28
券后约 ￥5.42,￥5.70,西青果颗粒(藏青果颗粒),广西正堂药业有限责任公司,规格：15g*10袋(100盒/件),效期：2022-04-30
券后约 ￥8.12,￥8.55,连翘败毒片,莎普爱思强身药业有限公司,规格：0.51g*12片*4板,效期：2023-07-22
券后约 ￥5.07,￥5.34,氯雷他定颗粒,江苏苏中药业集团股份有限公司,规格：5mg*12袋,效期：2023-03-31
券后约 ￥8.35,￥8.79,杜仲壮骨胶囊,甘肃岷海制药有限责任公司,规格：0.5g*10粒*4板,效期：2023-06-30
券后约 ￥3.94,￥4.15,暖胃舒乐片,吉林省利华制药有限公司,规格：0.25g*28片(糖衣),效期：2022-11-30
券后约 ￥7.84,￥8.25,银翘解毒颗粒,四川同人泰药业股份有限公司,规格：15g*10袋,效期：2023-02-28
券后约 ￥3.25,￥3.42,蛇胆川贝液,江西民济药业有限公司,规格：10ml*6支,效期：2022-03-31
券后约 ￥12.07,￥12.71,养阴清肺丸,山西华康药业股份有限公司,规格：6g*6袋,效期：2023-03-31
券后约 ￥4.38,￥4.61,复方鲜竹沥液,江西天施康中药股份有限公司,规格：10ml*6支,效期：2022-01-31
券后约 ￥4.10,￥4.32,桂附地黄丸,太极集团四川绵阳制药有限公司,规格：60g,效期：2023-07-31
券后约 ￥5.71,￥6.01,复方对乙酰氨基酚片(Ⅱ),拜耳医药保健有限公司委托山东新华制药股份有限公司,规格：10片,效期：2023-12-20
券后约 ￥7.79,￥8.20,复方金银花颗粒,广州花城药业有限公司(原广州市花城制药厂),规格：10g*10袋,效期：2022-01-31
券后约 ￥4.98,￥5.24,头孢克肟颗粒,成都倍特药业股份有限公司(成都倍特药业有限公司),规格：50mg*12袋,效期：2023-03-08
券后约 ￥2.57,￥2.71,知柏地黄丸,湖北瑞华制药有限责任公司,规格：200丸(水蜜丸),效期：2023-07-31
券后约 ￥5.15,￥5.42,复方板蓝根颗粒,四川菲德力制药有限公司,规格：15g*20袋,效期：2022-07-31
券后约 ￥17.87,￥18.81,茶新那敏片,山西立业制药有限公司,规格：60片,效期：2022-05-17
券后约 ￥1.72,￥1.81,盐酸二甲双胍片,北京市永康药业有限公司,规格：0.25g*48片(薄膜衣),效期：2022-03-16
券后约 ￥39.90,￥42.00,松龄血脉康胶囊,四川济生堂药业有限公司/成都康弘制药有限公司,规格：0.5g*60粒,效期：2022-06-30
券后约 ￥6.51,￥6.85,全鹿丸,江西仁丰药业有限公司,规格：6g*10袋(每40丸重3g),效期：2022-08-31
券后约 ￥7.60,￥8.00,羚羊清肺丸,北京御生堂集团石家庄制药有限公司,规格：6g*6袋(小蜜丸),效期：2023-02-28
券后约 ￥1.94,￥2.04,盐酸氟桂利嗪胶囊,吉林省七星山药业有限公司,规格：5mg*60粒,效期：2022-04-30
券后约 ￥2.86,￥3.01,叶酸片,北京麦迪海药业有限责任公司,规格：0.4mg*31片,效期：2023-07-31
券后约 ￥60.52,￥63.70,酚氨咖敏片,重庆迪康长江制药有限公司,规格：1000片,效期：2022-05-12
券后约 ￥4.79,￥5.04,银杏叶片,深圳海王药业有限公司,规格：12片*2板(薄膜衣),效期：2023-05-07
券后约 ￥7.13,￥7.51,蚓激酶肠溶胶囊,珠海博康药业有限公司,规格：20万单位*12粒,效期：2022-05-31
券后约 ￥5.87,￥6.18,复方罗汉果止咳颗粒,四川菲德力制药有限公司,规格：10g*20袋(件装60),效期：2022-03-31
券后约 ￥5.42,￥5.70,甲硝唑阴道泡腾片,湖北东信药业有限公司,规格：0.2g*7片*2板,效期：2022-09-30
券后约 ￥15.83,￥16.66,枣仁安神颗粒,黑龙江省济仁药业有限公司,规格：5g*6袋,效期：2023-03-31
券后约 ￥7.00,￥7.37,人参归脾丸,北京御生堂集团石家庄制药有限公司,规格：9g*10丸(大蜜丸),效期：2023-07-31
券后约 ￥4.98,￥5.24,安神补脑片,通化茂祥制药有限公司,规格：0.31g*18片,效期：2023-07-31
券后约 ￥3.23,￥3.40,小柴胡颗粒,太极集团四川绵阳制药有限公司,规格：10g*6袋,效期：2022-04-30
券后约 ￥11.55,￥12.16,复方枇杷止咳颗粒,四川菲德力制药有限公司,规格：10g*20袋(件装60),效期：2021-12-31
券后约 ￥23.04,￥24.25,复方高山红景天口服液,莎普爱思强身药业有限公司,规格：10ml*10支,效期：2023-05-18
券后约 ￥1.47,￥1.55,黄连上清片,河南金鸿堂制药有限公司,规格：0.3g*24片*2板,效期：2022-08-31
券后约 ￥4.66,￥4.90,六味地黄丸(浓缩丸),河南省济源市济世药业有限公司,规格：200丸(每8丸重1.44g),效期：2025-07-05
券后约 ￥4.33,￥4.56,甲硝唑芬布芬胶囊,江苏神华药业有限公司,规格：10粒*2板,效期：2022-03-31
券后约 ￥7.65,￥8.05,柴黄颗粒,江西京通美联药业有限公司,规格：4g*8袋,效期：2022-02-28
券后约 ￥4.94,￥5.20,骨肽注射液,安徽宏业药业有限公司,规格：2ml:10mg*10支,效期：2022-06-30
,￥售罄,头孢氨苄胶囊,湖南科伦制药有限公司,规格：0.125g*10粒*5板,效期：
券后约 ￥8.64,￥9.10,前列舒乐胶囊,吉林省俊宏药业有限公司,规格：0.4g*18粒*2板,效期：2023-08-31
券后约 ￥9.21,￥9.70,稚儿灵颗粒,广西万寿堂药业有限公司,规格：9g*10袋,效期：2022-08-31
券后约 ￥5.60,￥5.89,姜枣祛寒颗粒,陕西白云制药有限公司,规格：15g*10袋,效期：2022-02-28
券后约 ￥1.89,￥1.99,氨咖黄敏胶囊,浙江康恩贝制药股份有限公司,规格：12粒(盒装),效期：2022-02-28
券后约 ￥1.54,￥1.62,柴胡注射液,河南省康华药业股份有限公司,规格：2ml*10支,效期：2022-08-31
券后约 ￥12.07,￥12.71,六合维生素丸,大连水产药业有限公司,规格：100片,效期：2022-03-31
券后约 ￥2.39,￥2.52,格列吡嗪片,江苏平光制药(焦作)有限公司,规格：5mg*15片*2板,效期：2022-06-30
券后约 ￥3.02,￥3.18,咳特灵片,广西十万山制药有限公司（原广西恒拓集团仁盛制药有限公司）,规格：100片(薄膜衣),效期：2022-01-31
券后约 ￥42.75,￥45.00,卡介菌多糖核酸注射液,湖南斯奇生物制药有限公司,规格：1ml*6支,效期：2022-05-31
券后约 ￥5.07,￥5.34,复方罗汉果止咳颗粒,广西宝瑞坦制药有限公司,规格：10g*18袋,效期：2022-02-28
券后约 ￥8.39,￥8.83,糠甾醇片,杭州益品新五丰药业有限公司,规格：40mg*24片*3板(糖衣),效期：2022-05-26
券后约 ￥13.49,￥14.20,肾宝糖浆,江西民济药业有限公司,规格：200ml,效期：2022-08-31
券后约 ￥6.12,￥6.44,舒心宁片,甘肃岷海制药有限责任公司,规格：0.3g*24片*3板,效期：2023-05-31
券后约 ￥7.68,￥8.08,单硝酸异山梨酯缓释片,山东鲁抗医药集团赛特有限责任公司,规格：40mg*10片*2板,效期：2022-08-13
券后约 ￥16.76,￥17.64,肾宝合剂,江西南昌桑海制药有限责任公司(原江西南昌桑海制药厂),规格：150ml,效期：2022-07-31
券后约 ￥5.89,￥6.20,转移因子胶囊,杭州华津药业股份有限公司/浙江华缔药业集团有限责任公司,规格：3mg:100ug*12粒*2板,效期：2022-04-06
券后约 ￥2.47,￥2.60,尼美舒利颗粒,苏州俞氏药业有限公司,规格：50mg*12袋,效期：2022-02-06
券后约 ￥2.48,￥2.61,盐酸赛庚啶片,山东仁和制药有限公司,规格：2mg*100片,效期：2023-08-03
券后约 ￥13.72,￥14.44,维生素B2片,成都第一制药有限公司(原成都第一药业有限公司),规格：5mg*1000片,效期：2023-06-30
券后约 ￥5.16,￥5.43,心安胶囊,承德御室金丹药业有限公司,规格：80mg*32粒,效期：2023-03-06
券后约 ￥3.51,￥3.69,风油精,福建太平洋制药有限公司,规格：9ml,效期：2023-07-31
券后约 ￥3.61,￥3.80,阿莫西林胶囊,四川峨嵋山药业有限公司,规格：0.5g*8粒*2板,效期：2021-09-30
券后约 ￥3.96,￥4.17,龙胆泻肝丸,河北凯诺制药有限公司,规格：6g*10袋,效期：2023-06-30
券后约 ￥3.70,￥3.90,消栓通络片,吉林真元制药有限公司,规格：18片*2板,效期：2022-08-31
券后约 ￥4.98,￥5.24,复方羊角片,内蒙古仁泽药业有限公司,规格：0.31g*15片*4板(糖衣),效期：2023-07-03
券后约 ￥3.54,￥3.73,五维他口服溶液,海南制药厂有限公司,规格：100ml,效期：2022-05-31
券后约 ￥3.31,￥3.48,风油精,湖北康源药业有限公司,规格：9ml,效期：2023-07-20
券后约 ￥5.53,￥5.82,赖氨肌醇维B12口服溶液,浙江安贝特药业有限公司,规格：100ml,效期：2022-09-10
券后约 ￥4.66,￥4.90,雪梨膏,湖北纽兰药业有限公司,规格：120g,效期：2022-12-31
券后约 ￥6.38,￥6.72,马来酸曲美布汀片,海南普利制药股份有限公司,规格：0.1g*20片,效期：2022-01-31
券后约 ￥3.32,￥3.49,土霉素片,上海玉瑞生物科技(安阳)药业有限公司,规格：0.25g*100片,效期：2023-06-30
券后约 ￥9.26,￥9.75,六味消痔片,贵州润生制药有限公司,规格：0.3g*18片*3板,效期：2022-09-30
券后约 ￥4.24,￥4.46,复方气管炎片,陕西春晖药业有限公司,规格：0.35g*12片*2板(薄膜衣),效期：2022-01-31
券后约 ￥5.35,￥5.63,风寒咳嗽丸,太极集团四川绵阳制药有限公司,规格：6g*8袋,效期：2022-11-30
券后约 ￥0.85,￥0.90,阿司匹林肠溶片,石家庄康力药业有限公司,规格：25mg*100片,效期：2022-02-28
券后约 ￥6.23,￥6.56,五子衍宗丸,北京御生堂集团石家庄制药有限公司,规格：9g*6袋（小蜜丸）,效期：2023-07-31
券后约 ￥3.26,￥3.43,咳特灵胶囊,广东新峰药业股份有限公司,规格：30粒(塑),效期：2023-01-31
券后约 ￥5.89,￥6.20,盐酸氟桂利嗪胶囊,亚宝药业集团股份有限公司,规格：5mg*30粒,效期：2023-01-31
券后约 ￥4.61,￥4.85,肠康片,湖南中和制药有限公司,规格：10片*2板(薄膜衣),效期：2023-06-30
券后约 ￥6.32,￥6.65,连翘败毒丸,承德天原药业有限公司,规格：9g*6袋                                                      ,效期：2023-07-31
券后约 ￥5.87,￥6.18,滋补生发片,吉林省银诺克药业有限公司,规格：12片*4板(糖衣)                                              ,效期：2023-07-02
券后约 ￥5.90,￥6.21,复方氨酚那敏颗粒,神威药业集团有限公司,规格：20袋/盒,效期：2022-01-31
券后约 ￥3.85,￥4.05,天麻头痛片,辽宁上药好护士药业(集团)有限公司,规格：0.3g*12片*3板(糖衣),效期：2023-04-30
券后约 ￥4.56,￥4.80,盐酸氨溴索片,成都恒瑞制药有限公司,规格：30mg*10片*2板,效期：2022-02-11
券后约 ￥3.51,￥3.69,银黄胶囊,四川泰华堂制药有限公司,规格：0.3g*24粒,效期：2022-08-31
券后约 ￥9.50,￥10.00,人参北芪胶囊,江西银涛药业有限公司,规格：0.35g*12粒*3板,效期：2022-05-31
券后约 ￥0.32,￥0.34,开塞露（含甘油）,福元药业有限公司,规格：10ml,效期：2023-08-31
券后约 ￥2.62,￥2.76,维生素B6片,山西太原药业有限公司,规格：10mg*100片,效期：2022-04-23
券后约 ￥5.62,￥5.92,通窍耳聋丸,河北永丰药业有限公司(原石药控股集团河北永丰药业有限公司),规格：6g*6袋（水丸）,效期：2023-05-31
券后约 ￥3.43,￥3.61,灯盏花素片,广东彼迪药业有限公司,规格：20mg*24片,效期：2022-08-12
券后约 ￥6.12,￥6.44,银黄含化滴丸,贵州金宇药业有限公司,规格：50mg*130丸,效期：2022-01-31
券后约 ￥9.87,￥10.39,雪梨膏,湖北诺得胜制药有限公司,规格：400g,效期：2022-03-31
券后约 ￥9.50,￥10.00,维生素C片,成都第一制药有限公司(原成都第一药业有限公司),规格：0.1g*1000片,效期：2021-12-31
券后约 ￥10.38,￥10.93,弹性创可贴,云南白药集团股份有限公司委托江苏南方卫材医药股份有限公司生产/苏常食药监械生产备20153008号,规格：70mm*20mm*100片,效期：2023-02-28
券后约 ￥36.68,￥38.61,多维元素片(29-Ⅱ),惠氏制药有限公司,规格：30片,效期：2023-07-02
券后约 ￥3.61,￥3.80,银杏叶片,广西两面针亿康药业股份有限公司/广西两面针亿康药业股份有限公司,规格：(9.6+2.4)24片(薄膜衣),效期：2023-06-30
券后约 ￥4.27,￥4.50,格列美脲片,北京北陆药业股份有限公司,规格：2mg*30片,效期：2021-08-31
券后约 ￥26.63,￥28.03,盐酸苯海拉明片,上海玉瑞生物科技(安阳)药业有限公司,规格：25mg*100片,效期：2023-05-31
券后约 ￥3.61,￥3.80,莲芝消炎胶囊,广东省惠州市中药厂有限公司,规格：12粒,效期：2022-03-31
券后约 ￥1.85,￥1.95,复方穿心莲片,广西禅方药业有限公司,规格：100片(糖衣),效期：2021-11-30
券后约 ￥7.04,￥7.41,心脑康胶囊,吉林真元制药有限公司,规格：0.25g*72粒,效期：2023-05-31
券后约 ￥9.30,￥9.79,洛索洛芬钠片,兴安药业有限公司,规格：60mg*30片(薄膜衣)                                           ,效期：2022-05-31
券后约 ￥6.05,￥6.37,补肾益脑胶囊,吉林省鹿王制药股份有限公司,规格：0.27g*15粒*3板                                              ,效期：2023-03-31
券后约 ￥17.22,￥18.13,格列齐特片（II）,湖南千金湘江药业股份有限公司,规格：80mg*20片*5板,效期：2023-07-31
券后约 ￥8.29,￥8.73,蓉达牌枸杞人参蜂王浆口服液,四川省康达生物制药有限公司,规格：10ml*10支,效期：2022-09-12
券后约 ￥0.78,￥0.82,维生素C片,上海全宇生物科技确山制药有限公司,规格：0.1g*100片                                                  ,效期：2022-09-17
券后约 ￥5.95,￥6.26,新血宝胶囊,沈阳管城制药有限责任公司,规格：0.25g*10粒*4板,效期：2022-03-31
券后约 ￥6.20,￥6.53,天麻蜜环菌片,福建省三明天泰制药有限公司,规格：0.25g*100片,效期：2023-01-31
券后约 ￥2.94,￥3.10,鲜竹沥,江西民济药业有限公司,规格：30ml*8支,效期：2022-03-31
券后约 ￥6.63,￥6.98,替米沙坦片,天津华津制药有限公司,规格：40mg*14片,效期：2022-04-30
券后约 ￥6.37,￥6.70,替米沙坦片,湖南威特制药股份有限公司/湖南威特制药股份有限公司,规格：40mg*7片*2板                                                ,效期：2023-07-31
券后约 ￥5.81,￥6.12,葡萄糖酸锌口服溶液,湖北纽兰药业有限公司,规格：10ml*12支(0.35%),效期：2022-08-31
券后约 ￥5.60,￥5.89,通宣理肺片,广东新峰药业股份有限公司,规格：0.3g*48片(薄膜衣),效期：2021-09-30
券后约 ￥5.55,￥5.84,洛索洛芬钠胶囊,山东威高药业股份有限公司,规格：60mg*12粒,效期：2022-04-07
券后约 ￥10.88,￥11.45,生脉饮,通化爱心药业股份有限公司,规格：10ml*12支,效期：2022-08-13
券后约 ￥13.08,￥13.77,脑络通胶囊,辽宁天龙药业有限公司,规格：48粒,效期：2023-08-31
券后约 ￥3.41,￥3.59,氢溴酸右美沙芬颗粒,广东和平药业有限公司,规格：7.5mg*12包,效期：2022-01-09
券后约 ￥1.20,￥1.26,醋酸地塞米松片,遂成药业股份有限公司,规格：0.75mg*100片,效期：2022-10-31
券后约 ￥4.97,￥5.23,复方羊角颗粒,甘肃佛仁制药科技有限公司,规格：8g*10袋,效期：2022-06-30
券后约 ￥4.51,￥4.75,烂积丸,河南润弘本草制药有限公司,规格：6g*10袋(每100粒重3g),效期：2022-10-31
券后约 ￥2.76,￥2.91,强力枇杷露,江西盛翔制药有限公司,规格：100ml,效期：2022-02-28
券后约 ￥3.16,￥3.33,天麻头痛片,辽宁朝花药业有限公司,规格：0.3g*12片*2板(糖衣),效期：2024-10-31
券后约 ￥2.62,￥2.76,奥美拉唑肠溶胶囊,珠海润都制药股份有限公司,规格：20mg*10粒*2粒,效期：2022-04-30
券后约 ￥2.89,￥3.04,马来酸氯苯那敏片,四川康福来药业集团有限公司,规格：4mg*100片,效期：2022-11-30
券后约 ￥2.08,￥2.19,罗红霉素分散片,四川科伦药业股份有限公司,规格：75mg*12片,效期：2022-04-07
券后约 ￥1.80,￥1.90,银翘解毒片,昭通市骅成制药有限公司,规格：24片,效期：2023-01-31
券后约 ￥0.81,￥0.85,维生素B1片,新乡市常乐制药有限责任公司,规格：10mg*100片                                                  ,效期：2023-05-31
券后约 ￥4.02,￥4.23,通宣理肺丸,北京御生堂集团石家庄制药有限公司,规格：6g*6袋,效期：2023-02-28
券后约 ￥5.35,￥5.63,槟榔四消丸,北京同仁堂天然药物（唐山）有限公司,规格：6g*6袋,效期：2022-02-28
券后约 ￥4.07,￥4.28,心脑欣片,江西金世康药业有限公司,规格：0.5g*10片*2板,效期：2022-08-31
券后约 ￥2.26,￥2.38,医用冷敷（小儿腹泻贴）,湖北冠安堂药业有限公司/鄂天食药监械生产备20180005号,规格：I型5cm*7cm*1贴*4袋,效期：2021-12-01
券后约 ￥12.27,￥12.92,前列安通胶囊,黑龙江省济仁药业有限公司,规格：0.4g*10粒*2板*3小盒,效期：2023-07-31
券后约 ￥4.00,￥4.21,苯磺酸氨氯地平片,国药集团容生制药有限公司,规格：5mg*7片*4板,效期：2022-05-31
券后约 ￥1.57,￥1.65,维生素C注射液,重庆迪康长江制药有限公司,规格：2ml:0.5g*10支,效期：2021-12-07
券后约 ￥4.79,￥5.04,养血安神片,亚宝药业集团股份有限公司,规格：0.25g*100片(糖衣),效期：2023-06-30
券后约 ￥4.33,￥4.56,大败毒胶囊,吉林省银诺克药业有限公司,规格：0.5g*20粒,效期：2023-02-14
券后约 ￥5.15,￥5.42,阿咖酚散,贵州缔谊健康制药有限公司,规格：100包,效期：2022-05-31
券后约 ￥10.14,￥10.67,血塞通注射液,云南植物药业有限公司,规格：10ml:250mg*5支,效期：2022-06-05
券后约 ￥11.59,￥12.20,肾宝糖浆,江西民济药业有限公司,规格：150ml,效期：2022-07-31
券后约 ￥8.69,￥9.15,非洛地平缓释片,莱阳市江波制药有限责任公司,规格：5mg*20片,效期：2022-05-31
券后约 ￥4.43,￥4.66,壮腰健肾片,景忠山国药(唐山)有限公司,规格：36片(糖衣),效期：2022-06-30
券后约 ￥6.32,￥6.65,障眼明胶囊,广东省惠州市中药厂有限公司,规格：0.4g*12粒*2板,效期：2022-05-31
券后约 ￥9.86,￥10.38,泮托拉唑钠肠溶片,山东罗欣药业集团股份有限公司,规格：40mg*7片*2板,效期：2022-05-24
券后约 ￥5.05,￥5.32,双黄连口服液,南阳市新生制药有限公司,规格：10ml*6支,效期：2022-05-31
券后约 ￥2.53,￥2.66,补中益气丸,湖北瑞华制药有限责任公司,规格：200丸(小蜜丸),效期：2023-07-31
券后约 ￥20.61,￥21.70,活力苏口服液,成都地奥集团天府药业股份有限公司,规格：10ml*6支,效期：2022-07-31
券后约 ￥3.89,￥4.09,盐酸二甲双胍缓释片,江苏祥瑞药业有限公司,规格：0.5g*20片,效期：2022-06-30
券后约 ￥0.87,￥0.92,灭菌注射用水,国药集团容生制药有限公司,规格：2ml*10支,效期：2023-07-31
券后约 ￥4.87,￥5.13,小儿咳喘灵口服液,山东孔府制药有限公司,规格：10ml*6支,效期：2023-05-20
券后约 ￥18.14,￥19.10,心可舒片,山东沃华医药科技股份有限公司,规格：0.31g*24片*2板,效期：2023-08-31
券后约 ￥11.21,￥11.80,益气养血口服液,吉林龙泰制药股份有限公司,规格：10ml*15支,效期：2023-08-31
券后约 ￥57.91,￥60.96,脉管复康片,天津同仁堂集团股份有限公司,规格：0.6g*72片(薄膜衣),效期：2023-05-31
,￥您没有经营第二类医疗器械类商品资质！,生理性海水鼻腔喷雾器,南京天朗制药有限公司/苏食药监械生产许20160040号,规格：30ml,效期：2022-05-31
券后约 ￥4.33,￥4.56,补中益气丸(浓缩丸),河南省济源市济世药业有限公司,规格：200 丸(每8丸相当于原生药3g),效期：2025-01-10
券后约 ￥3.43,￥3.61,复方罗汉果止咳颗粒,桂林中族中药股份有限公司,规格：10g*10袋,效期：2022-02-28
券后约 ￥1.71,￥1.80,复方氨酚烷胺片,辽宁华瑞联合制药有限公司,规格：10片(500盒/件),效期：2021-10-31
券后约 ￥13.82,￥14.55,维生素C泡腾片,西安利君制药有限责任公司,规格：1.0g*12片,效期：2022-03-13
券后约 ￥7.13,￥7.51,复方氨基酸注射液(18AA),四川科伦药业股份有限公司,规格：500ml:25g,效期：2022-06-30
券后约 ￥3.89,￥4.09,小儿消咳片,吉林省俊宏药业有限公司,规格：24片,效期：2022-12-31
券后约 ￥9.68,￥10.19,金嗓子喉宝(无蔗糖)桑菊含片,广西金嗓子保健品有限公司,规格：22.8g(铁盒),效期：2023-09-02
券后约 ￥6.86,￥7.22,通脉颗粒,河南兴源制药有限公司,规格：10g*10袋,效期：2022-06-30
券后约 ￥14.29,￥15.04,盐酸吡格列酮胶囊,四川绿叶制药股份有限公司,规格：30mg*10粒,效期：2022-07-31
券后约 ￥5.67,￥5.97,强力枇杷露,四川泰华堂制药有限公司,规格：150ml,效期：2022-03-31
券后约 ￥14.54,￥15.30,脉管复康胶囊,陕西东泰制药有限公司,规格：0.45g*24粒,效期：2024-06-21
券后约 ￥7.22,￥7.60,障眼明胶囊,广东省惠州市中药厂有限公司,规格：0.4g*36粒,效期：2022-05-31
券后约 ￥7.50,￥7.89,复方胆通胶囊,黑龙江诺捷制药有限责任公司,规格：36粒,效期：2023-05-31
券后约 ￥6.68,￥7.03,莲芝消炎胶囊,广东省惠州市中药厂有限公司,规格：12粒*2板,效期：2022-02-28
券后约 ￥6.50,￥6.84,独一味分散片,江苏万高药业股份有限公司,规格：0.5g*36片,效期：2022-04-30
券后约 ￥8.29,￥8.73,二丁颗粒,四川古蔺肝苏药业有限公司,规格：4g*10袋,效期：2022-06-30
券后约 ￥7.19,￥7.57,单硝酸异山梨酯片,北京京丰制药集团有限公司,规格：20mg*12片*4板,效期：2022-05-22
券后约 ￥3.85,￥4.05,杞菊地黄丸(浓缩丸),河南省济源市济世药业有限公司,规格：200丸(每8丸相当于原药材3g),效期：2024-07-07
券后约 ￥4.07,￥4.28,老年咳喘片,成都迪康药业有限公司,规格：12片*3板,效期：2022-09-07
券后约 ￥3.67,￥3.86,复方北豆根氨酚那敏片,吉林省天泰药业股份有限公司,规格：16片,效期：2022-02-28
券后约 ￥3.33,￥3.51,替米沙坦胶囊,广州白云山天心制药股份有限公司,规格：40mg*14粒,效期：2022-03-31
券后约 ￥2.26,￥2.38,复方丹参片,广西日田药业集团有限责任公司,规格：60片(糖衣),效期：2022-05-31
券后约 ￥2.12,￥2.23,吲达帕胺片,濮阳市汇元药业有限公司,规格：2.5mg*10片*3板(糖衣),效期：2021-11-30
券后约 ￥9.31,￥9.80,复方氨基酸注射液 (18AA-II),广东利泰制药股份有限公司,规格：500ml：25g,效期：2022-06-30
券后约 ￥3.64,￥3.83,北豆根胶囊,伊春药业有限公司,规格：30mg*20粒,效期：2022-09-30
券后约 ￥19.26,￥20.27,维生素C泡腾片,拜耳医药保健有限公司委托山东新华制药股份有限公司生产,规格：1g*10片,效期：2023-02-11
券后约 ￥6.23,￥6.56,酚氨咖敏片,重庆和平制药有限公司,规格：100片,效期：2022-09-30
券后约 ￥8.12,￥8.55,银杏叶分散片,湖南方盛制药股份有限公司,规格：30片,效期：2021-12-31
券后约 ￥8.02,￥8.44,保济丸,广州王老吉药业股份有限公司,规格：3.7g*20瓶,效期：2023-02-28
券后约 ￥3.61,￥3.80,小儿麻甘颗粒,湖南富兴飞鸽药业有限公司,规格：2.5g*12袋,效期：2022-02-28
券后约 ￥1.49,￥1.57,罗红霉素胶囊,黑龙江诺捷制药有限责任公司,规格：75mg*12粒,效期：2022-07-31
券后约 ￥5.25,￥5.53,暖胃舒乐片,吉林省利华制药有限公司,规格：16片*3板(糖衣),效期：2023-05-31
券后约 ￥6.55,￥6.89,二甲双胍格列本脲片（I）,山东益健药业有限公司,规格：12片*5板(薄膜衣),效期：2022-02-28
券后约 ￥1.99,￥2.10,红药片,抚顺青松药业有限公司,规格：0.25g*12片*2板(糖衣),效期：2022-07-31
券后约 ￥3.04,￥3.20,感冒止咳胶囊,广东万方制药有限公司,规格：0.5g*10粒*2板,效期：2022-03-31
券后约 ￥10.45,￥11.00,口服补液盐散(I),四川峨嵋山药业有限公司,规格：14.75g*20袋,效期：2022-08-31
券后约 ￥6.50,￥6.84,洛索洛芬钠片,福建东瑞制药有限公司,规格：60mg*20片,效期：2022-06-30
券后约 ￥4.51,￥4.75,盐酸左西替利嗪片,杭州民生药业有限公司,规格：5mg*7片*2板                                                 ,效期：2022-03-31
券后约 ￥19.67,￥20.71,北京人参蜂王浆口服液,北京市东风保健营养品有限责任公司,规格：10ml*10支,效期：2022-09-11
券后约 ￥6.32,￥6.65,复方氨酚烷胺胶囊,江西铜鼓仁和制药有限公司,规格：10粒,效期：2021-11-30
券后约 ￥3.59,￥3.78,尼莫地平片,四川科伦药业股份有限公司,规格：20mg*50片,效期：2022-06-05
券后约 ￥5.87,￥6.18,氢溴酸右美沙芬口服溶液,南京海鲸药业有限公司,规格：100ml（0.15%）                                              ,效期：2022-02-28
券后约 ￥2.62,￥2.76,罗汉果止咳糖浆,广西葛洪堂药业有限公司,规格：100ml,效期：2021-10-31
券后约 ￥3.02,￥3.18,桑菊感冒片,洛阳天生药业有限责任公司,规格：12片*4板,效期：2022-09-30
券后约 ￥6.46,￥6.80,替米沙坦片,上海信谊天平药业有限公司,规格：40mg*14片,效期：2022-06-11
券后约 ￥7.91,￥8.33,氨基比林咖啡因片,长春海外制药集团有限公司,规格：6片*2板,效期：2022-06-30
券后约 ￥5.71,￥6.01,清肺抑火片,云南腾药制药股份有限公司,规格：0.6g*24片,效期：2022-09-30
券后约 ￥6.17,￥6.50,盐酸二甲双胍肠溶胶囊,长春大政药业科技有限公司,规格：0.25g*12粒*3板,效期：2022-03-31
券后约 ￥6.95,￥7.32,藿香清胃胶囊,吉林省俊宏药业有限公司,规格：0.32g*10粒*4板,效期：2023-06-30
券后约 ￥5.56,￥5.85,左氧氟沙星滴眼液,江苏汉晨药业有限公司,规格：5ml:24.4mg,效期：2022-04-30
券后约 ￥4.69,￥4.94,知柏地黄丸(浓缩丸),河南省济源市济世药业有限公司,规格：200丸(每10丸重1.7g),效期：2025-02-28
券后约 ￥1.99,￥2.09,藿香正气水,贵州安顺西秀制药有限责任公司,规格：10ml*10支,效期：2022-05-14
券后约 ￥3.59,￥3.78,复方氨基酸注射液(18AA),西南药业股份有限公司,规格：250m1:12.5g,效期：2022-07-31
